gene2467	GO:0007380,GO:0007391,GO:0008595,GO:0007000,GO:0031571,GO:0007476,GO:0007365,GO:0035050,GO:0005730,GO:0006325,GO:0048749,GO:0001158,GO:0000981,GO:0005701,GO:0000122,GO:0051302,GO:0000791,GO:0060914,GO:0010628,GO:0030154,GO:0001707,GO:0071456,GO:0050832
gene2476	
gene2477	
gene2479	GO:0005886,GO:0030424,GO:0030425,GO:0036019,GO:0043025,GO:0015171,GO:0003333,GO:0032536,GO:0040008,GO:0044719,GO:0048813,GO:0097484
gene272	GO:0016029,GO:0120177,GO:0060189,GO:0035641,GO:0043409,GO:0050728,GO:0045751,GO:0002032,GO:0045746,GO:0002168,GO:0007605,GO:0005515,GO:0016060,GO:0031647,GO:0016062,GO:0016491,GO:0045494,GO:0007608,GO:0005829,GO:0048260
gene2480	GO:0005737,GO:0030014,GO:0000289,GO:0009416,GO:0045475
gene2478	GO:0005886,GO:0030424,GO:0030425,GO:0036019,GO:0043025,GO:0015171,GO:0003333,GO:0032536,GO:0040008,GO:0044719,GO:0048813,GO:0097484
gene2489	GO:0005576,GO:0008061,GO:0006030
gene2481	GO:0005887,GO:0030424,GO:0042802,GO:0098632,GO:0007156,GO:0007411,GO:0070593
gene2483	GO:0032991,GO:0044451,GO:0016538,GO:0000079,GO:0006357,GO:0031325,GO:0048513,GO:0051726
gene269	GO:0051103,GO:0005524,GO:0044428,GO:0003677,GO:0003910,GO:0071897,GO:0006310,GO:0006260
gene2487	GO:0016020,GO:0031012,GO:0000184,GO:0007605,GO:0048813,GO:0060429
gene2490	
gene2485	GO:0004337,GO:0005737,GO:0033384,GO:0004161,GO:0008354,GO:0045337,GO:0006694
gene2486	GO:0016029,GO:0120177,GO:0060189,GO:0035641,GO:0043409,GO:0050728,GO:0006066,GO:0045751,GO:0002032,GO:0004022,GO:0045746,GO:0007601,GO:0002046,GO:0002168,GO:0007605,GO:0016060,GO:0031647,GO:0016062,GO:0045494,GO:0007608,GO:0005829,GO:0055114,GO:0048260
gene260	GO:0007391,GO:0018108,GO:0090136,GO:0008285,GO:0045742,GO:0043068,GO:0045886,GO:0007411,GO:0046777,GO:0007611,GO:0007435,GO:0005524,GO:0001764,GO:0004715,GO:0045197,GO:0045571,GO:0005927,GO:0048167,GO:0005829,GO:0030046,GO:0010592,GO:0046529,GO:0035332,GO:0045874,GO:0043277,GO:0005515,GO:0005911,GO:0007417,GO:0010669,GO:0005938,GO:0034334,GO:0036335
gene2488	GO:0007406,GO:0004129,GO:0006123,GO:0045787,GO:0005751,GO:1902600
